model,task,split,F1,MCC
esm2_650m,rmsf,train,0.66,0.29
esm2_650m,rmsf,test,0.63,0.23
esm2_650m,neq,train,0.74,0.34
esm2_650m,neq,test,0.73,0.3
esm2_650m,bfact,train,0.71,0.22
esm2_650m,bfact,test,0.69,0.16
esm2_650m,acc,train,0.83,0.56
esm2_650m,acc,test,0.82,0.52
esm2_650m,sec3,train,0.57,0.38
esm2_650m,sec3,test,0.55,0.36
esm2_650m,sec8,train,0.19,0.28
esm2_650m,sec8,test,0.19,0.27
ankh_large,rmsf,train,0.69,0.33
ankh_large,rmsf,test,0.66,0.27
ankh_large,neq,train,0.79,0.47
ankh_large,neq,test,0.78,0.45
ankh_large,bfact,train,0.72,0.23
ankh_large,bfact,test,0.7,0.16
ankh_large,acc,train,0.85,0.6
ankh_large,acc,test,0.84,0.58
ankh_large,sec3,train,0.71,0.58
ankh_large,sec3,test,0.7,0.57
ankh_large,sec8,train,0.25,0.43
ankh_large,sec8,test,0.24,0.42
prot_t5,rmsf,train,0.67,0.31
prot_t5,rmsf,test,0.65,0.26
prot_t5,neq,train,0.76,0.4
prot_t5,neq,test,0.75,0.37
prot_t5,bfact,train,0.72,0.24
prot_t5,bfact,test,0.69,0.18
prot_t5,acc,train,0.83,0.56
prot_t5,acc,test,0.82,0.53
prot_t5,sec3,train,0.62,0.46
prot_t5,sec3,test,0.61,0.44
prot_t5,sec8,train,0.21,0.34
prot_t5,sec8,test,0.21,0.33
