model,task,clf,metric,score_cv_mean,score_cv_std,score_test,n_train,n_test
esmc_300M,fold_label,LogReg,f1_macro,0.6423,0.0913,0.6774,430,205
esmc_300M,fold_label,RF,f1_macro,0.4989,0.1067,0.4839,430,205
esmc_300M,fold_label,MLP,f1_macro,0.5824,0.1021,0.538,430,205
esmc_300M,localization_class,LogReg,f1_macro,0.4754,0.0685,0.4843,514,204
esmc_300M,localization_class,RF,f1_macro,0.3901,0.0592,0.447,514,204
esmc_300M,localization_class,MLP,f1_macro,0.4489,0.096,0.4664,514,204
esmc_300M,species_label,LogReg,f1_macro,0.8444,0.112,0.8239,252,104
esmc_300M,species_label,RF,f1_macro,0.7222,0.1954,0.7304,252,104
esmc_300M,species_label,MLP,f1_macro,0.8354,0.1102,0.8142,252,104
esmc_300M,tm_label,LogReg,mcc,0.3122,0.1671,0.2482,938,403
esmc_300M,tm_label,RF,mcc,0.0,0.0,0.1759,938,403
esmc_300M,tm_label,MLP,mcc,0.1001,0.1874,0.2517,938,403
esmc_300M,disorder_global,LogReg,mcc,0.2346,0.0615,0.2587,973,417
esmc_300M,disorder_global,RF,mcc,0.27,0.1237,0.2241,973,417
esmc_300M,disorder_global,MLP,mcc,0.235,0.0878,0.2648,973,417
esmc_300M,acc_mean,LogReg,mcc,0.6747,0.0753,0.7418,973,417
esmc_300M,acc_mean,RF,mcc,0.6122,0.0846,0.6648,973,417
esmc_300M,acc_mean,MLP,mcc,0.6853,0.0929,0.6835,973,417
esmc_600M,fold_label,LogReg,f1_macro,0.6261,0.0499,0.6745,430,205
esmc_600M,fold_label,RF,f1_macro,0.514,0.1169,0.4264,430,205
esmc_600M,fold_label,MLP,f1_macro,0.5606,0.0854,0.6124,430,205
esmc_600M,localization_class,LogReg,f1_macro,0.4786,0.0764,0.5206,514,204
esmc_600M,localization_class,RF,f1_macro,0.4196,0.077,0.4642,514,204
esmc_600M,localization_class,MLP,f1_macro,0.4914,0.0826,0.4513,514,204
esmc_600M,species_label,LogReg,f1_macro,0.8208,0.0844,0.8766,252,104
esmc_600M,species_label,RF,f1_macro,0.7719,0.1607,0.7497,252,104
esmc_600M,species_label,MLP,f1_macro,0.8023,0.1127,0.833,252,104
esmc_600M,tm_label,LogReg,mcc,0.3036,0.1406,0.2406,938,403
esmc_600M,tm_label,RF,mcc,0.0,0.0,0.1759,938,403
esmc_600M,tm_label,MLP,mcc,0.1525,0.2073,0.0,938,403
esmc_600M,disorder_global,LogReg,mcc,0.2613,0.1113,0.2613,973,417
esmc_600M,disorder_global,RF,mcc,0.283,0.1314,0.2129,973,417
esmc_600M,disorder_global,MLP,mcc,0.2628,0.0936,0.2334,973,417
esmc_600M,acc_mean,LogReg,mcc,0.6799,0.0675,0.6267,973,417
esmc_600M,acc_mean,RF,mcc,0.6161,0.0701,0.6334,973,417
esmc_600M,acc_mean,MLP,mcc,0.6578,0.0953,0.6643,973,417
ankh2_large,fold_label,LogReg,f1_macro,0.7258,0.0776,0.7469,430,205
ankh2_large,fold_label,RF,f1_macro,0.4985,0.0704,0.5146,430,205
ankh2_large,fold_label,MLP,f1_macro,0.69,0.0766,0.7081,430,205
ankh2_large,localization_class,LogReg,f1_macro,0.5188,0.0833,0.5691,514,204
ankh2_large,localization_class,RF,f1_macro,0.3085,0.0935,0.4243,514,204
ankh2_large,localization_class,MLP,f1_macro,0.4826,0.1032,0.474,514,204
ankh2_large,species_label,LogReg,f1_macro,0.7726,0.146,0.8588,252,104
ankh2_large,species_label,RF,f1_macro,0.3518,0.14,0.3982,252,104
ankh2_large,species_label,MLP,f1_macro,0.5991,0.1405,0.8523,252,104
ankh2_large,tm_label,LogReg,mcc,0.4153,0.1841,0.3399,938,403
ankh2_large,tm_label,RF,mcc,0.0,0.0,0.1759,938,403
ankh2_large,tm_label,MLP,mcc,-0.0025,0.0093,0.0,938,403
ankh2_large,disorder_global,LogReg,mcc,0.3015,0.0885,0.3436,973,417
ankh2_large,disorder_global,RF,mcc,0.3144,0.096,0.2998,973,417
ankh2_large,disorder_global,MLP,mcc,0.294,0.1242,0.3712,973,417
ankh2_large,acc_mean,LogReg,mcc,0.6859,0.0713,0.729,973,417
ankh2_large,acc_mean,RF,mcc,0.7093,0.0753,0.767,973,417
ankh2_large,acc_mean,MLP,mcc,0.7228,0.0887,0.7515,973,417
esm2_t33_650M_UR50D,fold_label,LogReg,f1_macro,0.727,0.1021,0.7562,430,205
esm2_t33_650M_UR50D,fold_label,RF,f1_macro,0.5095,0.0926,0.4764,430,205
esm2_t33_650M_UR50D,fold_label,MLP,f1_macro,0.6364,0.1034,0.7048,430,205
esm2_t33_650M_UR50D,localization_class,LogReg,f1_macro,0.4807,0.0735,0.4118,514,204
esm2_t33_650M_UR50D,localization_class,RF,f1_macro,0.3625,0.0906,0.4117,514,204
esm2_t33_650M_UR50D,localization_class,MLP,f1_macro,0.464,0.0847,0.4811,514,204
esm2_t33_650M_UR50D,species_label,LogReg,f1_macro,0.7803,0.123,0.8503,252,104
esm2_t33_650M_UR50D,species_label,RF,f1_macro,0.6633,0.1754,0.6988,252,104
esm2_t33_650M_UR50D,species_label,MLP,f1_macro,0.7646,0.1413,0.7415,252,104
esm2_t33_650M_UR50D,tm_label,LogReg,mcc,0.4147,0.1872,0.3234,938,403
esm2_t33_650M_UR50D,tm_label,RF,mcc,0.0,0.0,0.249,938,403
esm2_t33_650M_UR50D,tm_label,MLP,mcc,0.0722,0.1858,0.1978,938,403
esm2_t33_650M_UR50D,disorder_global,LogReg,mcc,0.2966,0.0957,0.2982,973,417
esm2_t33_650M_UR50D,disorder_global,RF,mcc,0.2804,0.1082,0.231,973,417
esm2_t33_650M_UR50D,disorder_global,MLP,mcc,0.2846,0.0889,0.2604,973,417
esm2_t33_650M_UR50D,acc_mean,LogReg,mcc,0.7216,0.0461,0.7075,973,417
esm2_t33_650M_UR50D,acc_mean,RF,mcc,0.6509,0.0604,0.6608,973,417
esm2_t33_650M_UR50D,acc_mean,MLP,mcc,0.6823,0.0728,0.7412,973,417
