model,task,clf,metric,fold,score_cv,k
esmc_300M,fold_label,LogReg,f1_macro,0,0.7357,15
esmc_300M,fold_label,LogReg,f1_macro,1,0.8047,15
esmc_300M,fold_label,LogReg,f1_macro,2,0.5667,15
esmc_300M,fold_label,LogReg,f1_macro,3,0.5983,15
esmc_300M,fold_label,LogReg,f1_macro,4,0.7643,15
esmc_300M,fold_label,LogReg,f1_macro,5,0.6706,15
esmc_300M,fold_label,LogReg,f1_macro,6,0.5555,15
esmc_300M,fold_label,LogReg,f1_macro,7,0.5815,15
esmc_300M,fold_label,LogReg,f1_macro,8,0.6583,15
esmc_300M,fold_label,LogReg,f1_macro,9,0.74,15
esmc_300M,fold_label,LogReg,f1_macro,10,0.5583,15
esmc_300M,fold_label,LogReg,f1_macro,11,0.7198,15
esmc_300M,fold_label,LogReg,f1_macro,12,0.5191,15
esmc_300M,fold_label,LogReg,f1_macro,13,0.5111,15
esmc_300M,fold_label,LogReg,f1_macro,14,0.6511,15
esmc_300M,fold_label,RF,f1_macro,0,0.6637,15
esmc_300M,fold_label,RF,f1_macro,1,0.6179,15
esmc_300M,fold_label,RF,f1_macro,2,0.6147,15
esmc_300M,fold_label,RF,f1_macro,3,0.3878,15
esmc_300M,fold_label,RF,f1_macro,4,0.446,15
esmc_300M,fold_label,RF,f1_macro,5,0.6174,15
esmc_300M,fold_label,RF,f1_macro,6,0.472,15
esmc_300M,fold_label,RF,f1_macro,7,0.4602,15
esmc_300M,fold_label,RF,f1_macro,8,0.5596,15
esmc_300M,fold_label,RF,f1_macro,9,0.2962,15
esmc_300M,fold_label,RF,f1_macro,10,0.4129,15
esmc_300M,fold_label,RF,f1_macro,11,0.4044,15
esmc_300M,fold_label,RF,f1_macro,12,0.4946,15
esmc_300M,fold_label,RF,f1_macro,13,0.4113,15
esmc_300M,fold_label,RF,f1_macro,14,0.625,15
esmc_300M,fold_label,MLP,f1_macro,0,0.6875,15
esmc_300M,fold_label,MLP,f1_macro,1,0.7208,15
esmc_300M,fold_label,MLP,f1_macro,2,0.7997,15
esmc_300M,fold_label,MLP,f1_macro,3,0.6292,15
esmc_300M,fold_label,MLP,f1_macro,4,0.5944,15
esmc_300M,fold_label,MLP,f1_macro,5,0.5566,15
esmc_300M,fold_label,MLP,f1_macro,6,0.4607,15
esmc_300M,fold_label,MLP,f1_macro,7,0.4821,15
esmc_300M,fold_label,MLP,f1_macro,8,0.6284,15
esmc_300M,fold_label,MLP,f1_macro,9,0.4974,15
esmc_300M,fold_label,MLP,f1_macro,10,0.5038,15
esmc_300M,fold_label,MLP,f1_macro,11,0.6309,15
esmc_300M,fold_label,MLP,f1_macro,12,0.5501,15
esmc_300M,fold_label,MLP,f1_macro,13,0.4033,15
esmc_300M,fold_label,MLP,f1_macro,14,0.5917,15
esmc_300M,localization_class,LogReg,f1_macro,0,0.5419,15
esmc_300M,localization_class,LogReg,f1_macro,1,0.509,15
esmc_300M,localization_class,LogReg,f1_macro,2,0.4275,15
esmc_300M,localization_class,LogReg,f1_macro,3,0.4678,15
esmc_300M,localization_class,LogReg,f1_macro,4,0.5276,15
esmc_300M,localization_class,LogReg,f1_macro,5,0.506,15
esmc_300M,localization_class,LogReg,f1_macro,6,0.4567,15
esmc_300M,localization_class,LogReg,f1_macro,7,0.4698,15
esmc_300M,localization_class,LogReg,f1_macro,8,0.5183,15
esmc_300M,localization_class,LogReg,f1_macro,9,0.2913,15
esmc_300M,localization_class,LogReg,f1_macro,10,0.4133,15
esmc_300M,localization_class,LogReg,f1_macro,11,0.536,15
esmc_300M,localization_class,LogReg,f1_macro,12,0.452,15
esmc_300M,localization_class,LogReg,f1_macro,13,0.5867,15
esmc_300M,localization_class,LogReg,f1_macro,14,0.4276,15
esmc_300M,localization_class,RF,f1_macro,0,0.4215,15
esmc_300M,localization_class,RF,f1_macro,1,0.2827,15
esmc_300M,localization_class,RF,f1_macro,2,0.4312,15
esmc_300M,localization_class,RF,f1_macro,3,0.2752,15
esmc_300M,localization_class,RF,f1_macro,4,0.4634,15
esmc_300M,localization_class,RF,f1_macro,5,0.4294,15
esmc_300M,localization_class,RF,f1_macro,6,0.4371,15
esmc_300M,localization_class,RF,f1_macro,7,0.4629,15
esmc_300M,localization_class,RF,f1_macro,8,0.3726,15
esmc_300M,localization_class,RF,f1_macro,9,0.3581,15
esmc_300M,localization_class,RF,f1_macro,10,0.4214,15
esmc_300M,localization_class,RF,f1_macro,11,0.3427,15
esmc_300M,localization_class,RF,f1_macro,12,0.3607,15
esmc_300M,localization_class,RF,f1_macro,13,0.447,15
esmc_300M,localization_class,RF,f1_macro,14,0.3455,15
esmc_300M,localization_class,MLP,f1_macro,0,0.4247,15
esmc_300M,localization_class,MLP,f1_macro,1,0.4151,15
esmc_300M,localization_class,MLP,f1_macro,2,0.2937,15
esmc_300M,localization_class,MLP,f1_macro,3,0.4376,15
esmc_300M,localization_class,MLP,f1_macro,4,0.4985,15
esmc_300M,localization_class,MLP,f1_macro,5,0.4709,15
esmc_300M,localization_class,MLP,f1_macro,6,0.4756,15
esmc_300M,localization_class,MLP,f1_macro,7,0.6945,15
esmc_300M,localization_class,MLP,f1_macro,8,0.525,15
esmc_300M,localization_class,MLP,f1_macro,9,0.4002,15
esmc_300M,localization_class,MLP,f1_macro,10,0.3885,15
esmc_300M,localization_class,MLP,f1_macro,11,0.4472,15
esmc_300M,localization_class,MLP,f1_macro,12,0.5431,15
esmc_300M,localization_class,MLP,f1_macro,13,0.4363,15
esmc_300M,localization_class,MLP,f1_macro,14,0.2829,15
esmc_300M,species_label,LogReg,f1_macro,0,0.6611,15
esmc_300M,species_label,LogReg,f1_macro,1,0.8662,15
esmc_300M,species_label,LogReg,f1_macro,2,0.8082,15
esmc_300M,species_label,LogReg,f1_macro,3,0.9035,15
esmc_300M,species_label,LogReg,f1_macro,4,1.0,15
esmc_300M,species_label,LogReg,f1_macro,5,0.6827,15
esmc_300M,species_label,LogReg,f1_macro,6,0.9035,15
esmc_300M,species_label,LogReg,f1_macro,7,0.9524,15
esmc_300M,species_label,LogReg,f1_macro,8,0.9222,15
esmc_300M,species_label,LogReg,f1_macro,9,1.0,15
esmc_300M,species_label,LogReg,f1_macro,10,0.9187,15
esmc_300M,species_label,LogReg,f1_macro,11,0.6643,15
esmc_300M,species_label,LogReg,f1_macro,12,0.7272,15
esmc_300M,species_label,LogReg,f1_macro,13,0.8031,15
esmc_300M,species_label,LogReg,f1_macro,14,0.8534,15
esmc_300M,species_label,RF,f1_macro,0,0.3485,15
esmc_300M,species_label,RF,f1_macro,1,0.6865,15
esmc_300M,species_label,RF,f1_macro,2,0.9035,15
esmc_300M,species_label,RF,f1_macro,3,0.4268,15
esmc_300M,species_label,RF,f1_macro,4,0.9591,15
esmc_300M,species_label,RF,f1_macro,5,0.6972,15
esmc_300M,species_label,RF,f1_macro,6,1.0,15
esmc_300M,species_label,RF,f1_macro,7,0.8423,15
esmc_300M,species_label,RF,f1_macro,8,0.9222,15
esmc_300M,species_label,RF,f1_macro,9,0.6916,15
esmc_300M,species_label,RF,f1_macro,10,0.8147,15
esmc_300M,species_label,RF,f1_macro,11,0.6786,15
esmc_300M,species_label,RF,f1_macro,12,0.4018,15
esmc_300M,species_label,RF,f1_macro,13,0.6625,15
esmc_300M,species_label,RF,f1_macro,14,0.7976,15
esmc_300M,species_label,MLP,f1_macro,0,0.65,15
esmc_300M,species_label,MLP,f1_macro,1,0.8662,15
esmc_300M,species_label,MLP,f1_macro,2,0.7965,15
esmc_300M,species_label,MLP,f1_macro,3,0.8535,15
esmc_300M,species_label,MLP,f1_macro,4,1.0,15
esmc_300M,species_label,MLP,f1_macro,5,0.6827,15
esmc_300M,species_label,MLP,f1_macro,6,0.9591,15
esmc_300M,species_label,MLP,f1_macro,7,0.9524,15
