model,task,clf,metric,score_cv_mean,score_cv_std,score_test,n_train_sub,n_test
esmc_300M,rmsf,LogReg,f1,0.694,0.0026,0.6675,30000,94182
esmc_300M,rmsf,RF,f1,0.6504,0.0032,0.6347,30000,94182
esmc_300M,rmsf,MLP,f1,0.7003,0.0072,0.6463,30000,94182
esmc_300M,neq,LogReg,f1,0.7917,0.0023,0.801,30000,94182
esmc_300M,neq,RF,f1,0.7818,0.0035,0.7889,30000,94182
esmc_300M,neq,MLP,f1,0.8011,0.0015,0.8098,30000,94182
esmc_300M,bfact,LogReg,f1,0.6975,0.0051,0.6499,30000,94182
esmc_300M,bfact,RF,f1,0.7307,0.0007,0.7191,30000,94182
esmc_300M,bfact,MLP,f1,0.7267,0.005,0.6619,30000,94182
esmc_300M,acc,LogReg,f1,0.8414,0.0016,0.8451,30000,93767
esmc_300M,acc,RF,f1,0.834,0.0034,0.8368,30000,93767
esmc_300M,acc,MLP,f1,0.8427,0.0046,0.8453,30000,93767
esmc_300M,sec3,LogReg,f1_macro,0.8066,0.0056,0.8148,30000,93767
esmc_300M,sec3,RF,f1_macro,0.6676,0.0026,0.6799,30000,93767
esmc_300M,sec3,MLP,f1_macro,0.8064,0.006,0.8157,30000,93767
esmc_300M,sec8,LogReg,f1_macro,0.371,0.0071,0.3729,30000,93767
esmc_300M,sec8,RF,f1_macro,0.1847,0.0035,0.1976,30000,93767
esmc_300M,sec8,MLP,f1_macro,0.3731,0.0067,0.3847,30000,93767
esmc_600M,rmsf,LogReg,f1,0.7017,0.0006,0.6669,30000,94182
esmc_600M,rmsf,RF,f1,0.6509,0.0033,0.634,30000,94182
esmc_600M,rmsf,MLP,f1,0.7085,0.0024,0.66,30000,94182
esmc_600M,neq,LogReg,f1,0.7963,0.0037,0.8016,30000,94182
esmc_600M,neq,RF,f1,0.7834,0.0032,0.79,30000,94182
esmc_600M,neq,MLP,f1,0.799,0.001,0.8109,30000,94182
esmc_600M,bfact,LogReg,f1,0.6986,0.0036,0.6621,30000,94182
esmc_600M,bfact,RF,f1,0.7319,0.0028,0.7182,30000,94182
esmc_600M,bfact,MLP,f1,0.7315,0.0017,0.6756,30000,94182
esmc_600M,acc,LogReg,f1,0.847,0.0004,0.8503,30000,93767
esmc_600M,acc,RF,f1,0.8355,0.0018,0.8357,30000,93767
esmc_600M,acc,MLP,f1,0.851,0.0059,0.853,30000,93767
esmc_600M,sec3,LogReg,f1_macro,0.8151,0.0025,0.8252,30000,93767
esmc_600M,sec3,RF,f1_macro,0.6773,0.0058,0.6915,30000,93767
esmc_600M,sec3,MLP,f1_macro,0.8182,0.0028,0.8155,30000,93767
esmc_600M,sec8,LogReg,f1_macro,0.3843,0.011,0.3887,30000,93767
esmc_600M,sec8,RF,f1_macro,0.2009,0.0009,0.212,30000,93767
esmc_600M,sec8,MLP,f1_macro,0.3871,0.0094,0.3993,30000,93767
ankh2_large,rmsf,LogReg,f1,0.7023,0.0016,0.6818,30000,94182
ankh2_large,rmsf,RF,f1,0.6498,0.0038,0.6465,30000,94182
ankh2_large,rmsf,MLP,f1,0.6936,0.0048,0.6624,30000,94182
ankh2_large,neq,LogReg,f1,0.8062,0.0033,0.8109,30000,94182
ankh2_large,neq,RF,f1,0.7961,0.0016,0.8042,30000,94182
ankh2_large,neq,MLP,f1,0.8143,0.0028,0.8168,30000,94182
ankh2_large,bfact,LogReg,f1,0.6812,0.0026,0.6464,30000,94182
ankh2_large,bfact,RF,f1,0.7182,0.0013,0.7128,30000,94182
ankh2_large,bfact,MLP,f1,0.7031,0.0045,0.6647,30000,94182
ankh2_large,acc,LogReg,f1,0.8493,0.0038,0.854,30000,93767
ankh2_large,acc,RF,f1,0.8407,0.003,0.8403,30000,93767
ankh2_large,acc,MLP,f1,0.8575,0.004,0.8606,30000,93767
ankh2_large,sec3,LogReg,f1_macro,0.8192,0.0014,0.8328,30000,93767
ankh2_large,sec3,RF,f1_macro,0.7122,0.0047,0.7249,30000,93767
ankh2_large,sec3,MLP,f1_macro,0.8372,0.001,0.8386,30000,93767
ankh2_large,sec8,LogReg,f1_macro,0.4158,0.0025,0.4214,30000,93767
ankh2_large,sec8,RF,f1_macro,0.2272,0.0029,0.2367,30000,93767
ankh2_large,sec8,MLP,f1_macro,0.4379,0.0023,0.4371,30000,93767
esm2_t33_650M_UR50D,rmsf,LogReg,f1,0.7077,0.0081,0.6746,30000,94182
esm2_t33_650M_UR50D,rmsf,RF,f1,0.6523,0.0056,0.6384,30000,94182
esm2_t33_650M_UR50D,rmsf,MLP,f1,0.725,0.0037,0.6667,30000,94182
esm2_t33_650M_UR50D,neq,LogReg,f1,0.7979,0.0018,0.807,30000,94182
esm2_t33_650M_UR50D,neq,RF,f1,0.7797,0.0034,0.7847,30000,94182
esm2_t33_650M_UR50D,neq,MLP,f1,0.8065,0.0028,0.8059,30000,94182
esm2_t33_650M_UR50D,bfact,LogReg,f1,0.7033,0.0039,0.6567,30000,94182
esm2_t33_650M_UR50D,bfact,RF,f1,0.7299,0.0014,0.7177,30000,94182
esm2_t33_650M_UR50D,bfact,MLP,f1,0.7393,0.0035,0.662,30000,94182
esm2_t33_650M_UR50D,acc,LogReg,f1,0.8451,0.0054,0.8455,30000,93767
esm2_t33_650M_UR50D,acc,RF,f1,0.8312,0.0036,0.833,30000,93767
esm2_t33_650M_UR50D,acc,MLP,f1,0.849,0.0041,0.8528,30000,93767
esm2_t33_650M_UR50D,sec3,LogReg,f1_macro,0.8007,0.0049,0.8108,30000,93767
esm2_t33_650M_UR50D,sec3,RF,f1_macro,0.6143,0.0059,0.6223,30000,93767
esm2_t33_650M_UR50D,sec3,MLP,f1_macro,0.815,0.0044,0.8133,30000,93767
esm2_t33_650M_UR50D,sec8,LogReg,f1_macro,0.374,0.0104,0.3831,30000,93767
esm2_t33_650M_UR50D,sec8,RF,f1_macro,0.1581,0.0015,0.1634,30000,93767
esm2_t33_650M_UR50D,sec8,MLP,f1_macro,0.3923,0.008,0.3922,30000,93767
ankh_large,rmsf,LogReg,f1,0.6993,0.002,0.678,30000,94182
ankh_large,rmsf,RF,f1,0.651,0.0051,0.6488,30000,94182
ankh_large,rmsf,MLP,f1,0.6916,0.0008,0.6642,30000,94182
ankh_large,neq,LogReg,f1,0.8023,0.0029,0.8095,30000,94182
ankh_large,neq,RF,f1,0.7943,0.0024,0.802,30000,94182
ankh_large,neq,MLP,f1,0.8135,0.001,0.8155,30000,94182
ankh_large,bfact,LogReg,f1,0.6822,0.0003,0.6441,30000,94182
ankh_large,bfact,RF,f1,0.719,0.0015,0.7133,30000,94182
ankh_large,bfact,MLP,f1,0.7076,0.0016,0.6511,30000,94182
ankh_large,acc,LogReg,f1,0.8489,0.0021,0.8514,30000,93767
ankh_large,acc,RF,f1,0.8403,0.0043,0.8402,30000,93767
ankh_large,acc,MLP,f1,0.8551,0.0016,0.853,30000,93767
ankh_large,sec3,LogReg,f1_macro,0.8146,0.004,0.8283,30000,93767
ankh_large,sec3,RF,f1_macro,0.7111,0.0032,0.7228,30000,93767
ankh_large,sec3,MLP,f1_macro,0.8284,0.0012,0.8354,30000,93767
ankh_large,sec8,LogReg,f1_macro,0.4068,0.0082,0.4143,30000,93767
ankh_large,sec8,RF,f1_macro,0.2267,0.0009,0.2314,30000,93767
ankh_large,sec8,MLP,f1_macro,0.4237,0.0167,0.4301,30000,93767
prot_t5_xl_uniref50,rmsf,LogReg,f1,0.7065,0.0031,0.6834,30000,94182
prot_t5_xl_uniref50,rmsf,RF,f1,0.6662,0.0036,0.6591,30000,94182
prot_t5_xl_uniref50,rmsf,MLP,f1,0.7116,0.0052,0.6621,30000,94182
prot_t5_xl_uniref50,neq,LogReg,f1,0.8058,0.0044,0.8142,30000,94182
prot_t5_xl_uniref50,neq,RF,f1,0.7973,0.0023,0.8043,30000,94182
prot_t5_xl_uniref50,neq,MLP,f1,0.809,0.0035,0.8169,30000,94182
prot_t5_xl_uniref50,bfact,LogReg,f1,0.6903,0.0011,0.6432,30000,94182
prot_t5_xl_uniref50,bfact,RF,f1,0.7319,0.0012,0.7167,30000,94182
prot_t5_xl_uniref50,bfact,MLP,f1,0.7158,0.0061,0.6887,30000,94182
prot_t5_xl_uniref50,acc,LogReg,f1,0.8448,0.0013,0.8481,30000,93767
prot_t5_xl_uniref50,acc,RF,f1,0.836,0.0018,0.8368,30000,93767
prot_t5_xl_uniref50,acc,MLP,f1,0.8517,0.0023,0.8514,30000,93767
prot_t5_xl_uniref50,sec3,LogReg,f1_macro,0.8158,0.002,0.8184,30000,93767
prot_t5_xl_uniref50,sec3,RF,f1_macro,0.7118,0.0016,0.7134,30000,93767
prot_t5_xl_uniref50,sec3,MLP,f1_macro,0.8177,0.0029,0.8157,30000,93767
prot_t5_xl_uniref50,sec8,LogReg,f1_macro,0.3797,0.0088,0.3794,30000,93767
prot_t5_xl_uniref50,sec8,RF,f1_macro,0.1955,0.0035,0.2001,30000,93767
prot_t5_xl_uniref50,sec8,MLP,f1_macro,0.3769,0.0109,0.3704,30000,93767
